,Location,Date,Day,Start Time,End Time,Link
0,talacre-community-sports-centre,2023-10-17,Tuesday,21:20,22:00,https://bookings.better.org.uk/location/talacre-community-sports-centre/badminton-40min/2023-10-17/by-time
1,talacre-community-sports-centre,2023-10-18,Wednesday,21:20,22:00,https://bookings.better.org.uk/location/talacre-community-sports-centre/badminton-40min/2023-10-18/by-time
2,talacre-community-sports-centre,2023-10-20,Friday,18:00,18:40,https://bookings.better.org.uk/location/talacre-community-sports-centre/badminton-40min/2023-10-20/by-time
3,talacre-community-sports-centre,2023-10-20,Friday,21:20,22:00,https://bookings.better.org.uk/location/talacre-community-sports-centre/badminton-40min/2023-10-20/by-time
4,talacre-community-sports-centre,2023-10-21,Saturday,14:00,15:00,https://bookings.better.org.uk/location/talacre-community-sports-centre/badminton-60min/2023-10-21/by-time
5,talacre-community-sports-centre,2023-10-21,Saturday,17:00,18:00,https://bookings.better.org.uk/location/talacre-community-sports-centre/badminton-60min/2023-10-21/by-time
6,whitechapel-sports-centre,2023-10-17,Tuesday,21:20,22:00,https://bookings.better.org.uk/location/whitechapel-sports-centre/badminton-40min/2023-10-17/by-time
7,queensbridge-sports-community-centre,2023-10-17,Tuesday,21:20,22:00,https://bookings.better.org.uk/location/queensbridge-sports-community-centre/badminton-40min/2023-10-17/by-time
8,mile-end-park-leisure-centre,2023-10-18,Wednesday,21:20,22:00,https://bookings.better.org.uk/location/mile-end-park-leisure-centre/badminton-40min/2023-10-18/by-time
9,kings-hall-leisure-centre,2023-10-18,Wednesday,20:40,21:20,https://bookings.better.org.uk/location/kings-hall-leisure-centre/badminton-40min/2023-10-18/by-time
10,kings-hall-leisure-centre,2023-10-18,Wednesday,21:20,22:00,https://bookings.better.org.uk/location/kings-hall-leisure-centre/badminton-40min/2023-10-18/by-time
11,kings-hall-leisure-centre,2023-10-19,Thursday,20:00,20:40,https://bookings.better.org.uk/location/kings-hall-leisure-centre/badminton-40min/2023-10-19/by-time
12,kings-hall-leisure-centre,2023-10-19,Thursday,20:40,21:20,https://bookings.better.org.uk/location/kings-hall-leisure-centre/badminton-40min/2023-10-19/by-time
13,kings-hall-leisure-centre,2023-10-20,Friday,20:00,20:40,https://bookings.better.org.uk/location/kings-hall-leisure-centre/badminton-40min/2023-10-20/by-time
14,kings-hall-leisure-centre,2023-10-20,Friday,20:40,21:20,https://bookings.better.org.uk/location/kings-hall-leisure-centre/badminton-40min/2023-10-20/by-time
15,kings-hall-leisure-centre,2023-10-20,Friday,21:20,22:00,https://bookings.better.org.uk/location/kings-hall-leisure-centre/badminton-40min/2023-10-20/by-time
16,kings-hall-leisure-centre,2023-10-21,Saturday,13:00,14:00,https://bookings.better.org.uk/location/kings-hall-leisure-centre/badminton-60min/2023-10-21/by-time
17,kings-hall-leisure-centre,2023-10-21,Saturday,14:00,15:00,https://bookings.better.org.uk/location/kings-hall-leisure-centre/badminton-60min/2023-10-21/by-time
18,kings-hall-leisure-centre,2023-10-21,Saturday,10:20,11:00,https://bookings.better.org.uk/location/kings-hall-leisure-centre/badminton-40min/2023-10-21/by-time
19,kings-hall-leisure-centre,2023-10-21,Saturday,11:00,11:40,https://bookings.better.org.uk/location/kings-hall-leisure-centre/badminton-40min/2023-10-21/by-time
20,kings-hall-leisure-centre,2023-10-21,Saturday,11:40,12:20,https://bookings.better.org.uk/location/kings-hall-leisure-centre/badminton-40min/2023-10-21/by-time
21,kings-hall-leisure-centre,2023-10-21,Saturday,12:20,13:00,https://bookings.better.org.uk/location/kings-hall-leisure-centre/badminton-40min/2023-10-21/by-time
22,leytonstone-leisure-centre,2023-10-20,Friday,18:00,18:40,https://bookings.better.org.uk/location/leytonstone-leisure-centre/badminton-40min/2023-10-20/by-time
